1          ,19A                    ,19B                    ,20A                    ,20B                    ,20C                    ,20J                   ,21J                    ,21K                    ,21L                   ,22A                    ,22B(BA.5.2.48)         ,22B(BF.7)              ,22B(Other)            ,22C                    ,22D                   ,22E                   ,22F                  ,23A                    ,23B                    ,23C                    ,23D                   ,23E                    ,23F                    ,23G                    ,23H                    ,23I                    ,recombinant
2023-04-09 ,0.00018913125709242213 ,0.0                    ,6.304375236414071e-05  ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,6.304375236414071e-05  ,0.00088261253309797   ,6.304375236414071e-05  ,0.0                    ,6.304375236414071e-05  ,0.008952212835707981  ,0.0                    ,0.005043500189131257  ,0.02937838860168957   ,0.034295801286092546 ,0.567204640020174      ,0.08473080317740513    ,0.03082839490606481    ,0.19203126970117262   ,0.02912621359223301    ,0.0007565250283696885  ,0.0006934812760055479  ,6.304375236414071e-05  ,0.0                    ,0.015571806833942756
2023-04-16 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0003637906990844601  ,0.0009094767477111501 ,0.0                    ,0.00018189534954223005 ,0.00012126356636148669 ,0.006366337233978051  ,0.0                    ,0.005335596919905415  ,0.023646395440489906  ,0.043230461407870006 ,0.5330746377250954     ,0.1029527678409022     ,0.029467046625841264   ,0.2068756442126963    ,0.03255926756805918    ,0.0007882131813496635  ,0.00030315891590371673 ,6.0631783180743344e-05 ,0.00030315891590371673 ,0.013460255866125023
2023-04-23 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,6.958458005705935e-05 ,0.0                    ,0.0006262612205135342  ,0.002017952821654721  ,0.0                    ,6.958458005705935e-05  ,0.0004175074803423561  ,0.006540950525363579  ,6.958458005705935e-05  ,0.003687982743024146  ,0.021292881497460163  ,0.04265534757497739  ,0.500661053510542      ,0.11342286549300674    ,0.028599262403451394   ,0.2304641291489806    ,0.032983090947046136   ,0.0018787836615406027  ,0.0005566766404564748  ,0.0                    ,0.0                    ,0.01398650059146893
2023-04-30 ,0.0001490646195125587  ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0023105016024446597 ,0.0                    ,7.453230975627935e-05  ,0.0002981292390251174  ,0.004621003204889319  ,7.453230975627935e-05  ,0.004621003204889319  ,0.013863009614667958  ,0.042930610419616905 ,0.46187672355966314    ,0.13043154207348887    ,0.02839681001714243    ,0.25080122232988      ,0.03994931802936573    ,0.001490646195125587   ,0.0016397108146381457  ,0.0                    ,0.0                    ,0.016471640456137734
2023-05-07 ,8.501232678738417e-05  ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.002890419110771062  ,0.0                    ,0.0                    ,0.0                    ,0.0037405423786449035 ,0.0                    ,0.004420640992943977  ,0.009861429907336563  ,0.04913712488310805  ,0.43951372949077616    ,0.15208705262263028    ,0.029244240414860154   ,0.24534557510839072   ,0.04284621270084162    ,0.001530221882172915   ,0.001445209555385531   ,0.0                    ,0.0                    ,0.017852588625350677
2023-05-14 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.00010395010395010396 ,0.0                    ,0.0029106029106029108 ,0.00010395010395010396 ,0.0                    ,0.00010395010395010396 ,0.0018711018711018712 ,0.0                    ,0.004158004158004158  ,0.005301455301455302  ,0.050623700623700627 ,0.39106029106029105    ,0.16943866943866945    ,0.02754677754677755    ,0.26268191268191265   ,0.0525987525987526     ,0.0033264033264033266  ,0.002598752598752599   ,0.0                    ,0.0                    ,0.025571725571725573
2023-05-21 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0001199616122840691  ,0.0032389635316698658 ,0.0                    ,0.0                    ,0.0                    ,0.0005998080614203454 ,0.0                    ,0.0028790786948176585 ,0.005038387715930902  ,0.05446257197696737  ,0.36000479846449135    ,0.1833013435700576     ,0.02927063339731286    ,0.27027351247600767   ,0.060820537428023035   ,0.006238003838771593   ,0.002519193857965451   ,0.0                    ,0.0                    ,0.02123320537428023
2023-05-28 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0035709730901670707 ,0.00012753475322025253 ,0.0                    ,0.00012753475322025253 ,0.0019130212983037877 ,0.0                    ,0.002295625557964545  ,0.006376737661012626  ,0.062492029077923734 ,0.29830378778217065    ,0.20150491008799898    ,0.028950388980997322   ,0.27560260170896567   ,0.07129192705012116    ,0.012370871062364494   ,0.004208646856268333   ,0.0                    ,0.0                    ,0.03086341027930111
2023-06-04 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.00163958861231182   ,0.0                    ,0.0                    ,0.0                    ,0.001043374571471158  ,0.0                    ,0.002981070204203309  ,0.005962140408406618  ,0.06781934714562528  ,0.28275450886868386    ,0.21597853629452973    ,0.03532568191980921    ,0.24862125503055596   ,0.07586823669697422    ,0.0202712773885825     ,0.005365926367565956   ,0.0                    ,0.0                    ,0.03636905649128037
2023-06-11 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.002425922717033443  ,0.0                    ,0.0                    ,0.0                    ,0.0015595217466643563 ,0.0                    ,0.00329232368740253   ,0.001906082134811991  ,0.06809911627101023  ,0.2607866920810951     ,0.2254375324900364     ,0.028937792410327498   ,0.25992029111072606   ,0.07849592791543926    ,0.028937792410327498   ,0.007451048345174146   ,0.0                    ,0.0                    ,0.03274995667995148
2023-06-18 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0009895111814763506 ,0.0                    ,0.0                    ,0.0                    ,0.001583217890362161  ,0.0                    ,0.005541262616267564  ,0.0021769245992479713 ,0.08430635266178507  ,0.24955471996833564    ,0.22501484266772215    ,0.03067484662576687    ,0.20641203245596676   ,0.09558678013061547    ,0.050465070255293884   ,0.009697209578468237   ,0.00019790223629527012 ,0.0                    ,0.037799327132396594
2023-06-25 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0017163698777086461 ,0.00021454623471358077 ,0.0                    ,0.0                    ,0.0017163698777086461 ,0.00021454623471358077 ,0.003861832224844454  ,0.001072731173567904  ,0.07530572838446685  ,0.22033898305084745    ,0.2321390259600944     ,0.029392834155760567   ,0.2087534863763141    ,0.1094185797039262     ,0.06929843381248658    ,0.01394550525638275    ,0.0                    ,0.0                    ,0.03261102767646428
2023-07-02 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0004899559039686428 ,0.0                    ,0.0                    ,0.0                    ,0.002204801567858893  ,0.0                    ,0.0009799118079372856 ,0.0026947574718275357 ,0.082312591866732    ,0.18348848603625673    ,0.23517883390494856    ,0.029642332190102892   ,0.20578147966683      ,0.09921607055365017    ,0.1087702106810387     ,0.014698677119059285   ,0.0004899559039686428  ,0.0                    ,0.034051935325820674
2023-07-09 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0002469135802469136 ,0.0002469135802469136  ,0.0                    ,0.0                    ,0.0017283950617283952 ,0.0                    ,0.0024691358024691358 ,0.0014814814814814814 ,0.0891358024691358   ,0.17703703703703705    ,0.22740740740740742    ,0.02666666666666667    ,0.1837037037037037    ,0.1111111111111111     ,0.1365432098765432     ,0.01580246913580247    ,0.0                    ,0.0                    ,0.026419753086419754
2023-07-16 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                    ,0.00259852750108272   ,0.0                    ,0.0017323516673884798 ,0.0015158077089649198 ,0.08163707232568211  ,0.15439584235599826    ,0.2360329146816804     ,0.024252923343438718   ,0.17106972715461238   ,0.11130359462970983    ,0.16977046340407104    ,0.02013858813339108    ,0.0                    ,0.0                    ,0.025552187093980078
2023-07-23 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                    ,0.0028495827396702628 ,0.0                    ,0.001628332994097293  ,0.001628332994097293  ,0.08121310808060249  ,0.1235497659271321     ,0.24058619987787502    ,0.018115204559332382   ,0.16731121514349684   ,0.0991247710156727     ,0.21534703846936698    ,0.02890291064522695    ,0.0006106248727864848  ,0.0                    ,0.019132912680643193
2023-07-30 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                    ,0.0038648966560241977 ,0.0                    ,0.0013443118803562427 ,0.0006721559401781214 ,0.07057637371870273  ,0.11225004200974627    ,0.21794656360275583    ,0.01932448328012099    ,0.168879179969753     ,0.09897496219122837    ,0.2586119979835322     ,0.029406822382792807   ,0.00016803898504453034 ,0.00016803898504453034 ,0.017812132414720214
2023-08-06 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0                    ,0.0014388489208633094 ,0.0                    ,0.0014388489208633094 ,0.0                   ,0.05971223021582734  ,0.09064748201438849    ,0.20863309352517986    ,0.02877697841726619    ,0.1510791366906475    ,0.1                    ,0.30287769784172663    ,0.038129496402877695   ,0.0014388489208633094  ,0.0007194244604316547  ,0.015107913669064749
